block,braking_condition,crossing_time,ehmi_time,has_ehmi,is_braking,orig_speed,speed,start_time,subj_safety,subject,time_gap,trial
A,3,0.33243442622952557,-0.44856557377048034,False,True,25,11.17568171658471,65.83256557377048,3,1,3,0
A,1,0.4573918918918878,,False,False,30,13.410818059901654,95.7376081081081,4,1,5,1
A,2,0.34739189189190256,,False,True,30,13.410818059901654,115.8896081081081,4,1,3,2
A,2,4.380434426229527,,False,True,25,11.17568171658471,138.3665655737705,4,1,2,3
A,3,0.4424344262295108,0.5744344262295158,False,True,25,11.17568171658471,164.9095655737705,3,1,4,4
A,2,0.6954344262295251,,False,True,25,11.17568171658471,190.57256557377048,4,1,5,5
A,3,0.27039189189187596,0.13839189189189938,False,True,30,13.410818059901654,211.5126081081081,3,1,3,6
A,2,0.40239189189188096,,False,True,30,13.410818059901654,231.89560810810812,4,1,4,7
A,2,0.4531871345029117,,False,True,35,15.645954403218596,250.2148128654971,3,1,5,8
A,1,0.5521871345029012,,False,False,35,15.645954403218596,271.0708128654971,2,1,5,9
A,1,0.2884344262294576,,False,False,25,11.17568171658471,293.7415655737705,1,1,2,10
A,3,0.5634344262294917,1.5754344262294921,False,True,25,11.17568171658471,328.7875655737705,4,1,5,11
A,2,0.46418713450287896,,False,True,35,15.645954403218596,349.6328128654971,3,1,4,12
A,2,0.7653918918919089,,False,True,30,13.410818059901654,406.6636081081081,3,1,5,13
A,3,5.3481871345028935,-0.4268128654971406,False,True,35,15.645954403218596,426.0718128654971,4,1,2,14
A,1,0.5851871345029167,,False,False,35,15.645954403218596,459.3358128654971,2,1,4,15
A,1,,,False,False,25,11.17568171658471,482.5015655737705,0,1,3,16
A,2,5.3193918918918826,,False,True,30,13.410818059901654,509.0846081081081,3,1,2,17
A,1,,,False,False,30,13.410818059901654,536.9036081081081,0,1,3,18
A,1,0.6184344262294417,,False,False,25,11.17568171658471,553.1435655737705,3,1,5,19
A,0,0.45318713450296855,,False,False,35,15.645954403218596,574.406812865497,2,1,4,20
A,1,,,False,False,35,15.645954403218596,597.979812865497,0,1,2,21
A,2,0.3984344262294144,,False,True,25,11.17568171658471,611.8285655737706,3,1,3,22
A,3,5.150434426229481,-1.4055655737705592,False,True,25,11.17568171658471,636.0615655737705,4,1,2,23
A,1,0.4864344262294935,,False,False,25,11.17568171658471,663.3195655737705,2,1,4,24
A,0,,,False,False,25,11.17568171658471,687.1455655737705,0,1,3,25
A,0,0.6883918918917971,,False,False,30,13.410818059901654,699.9456081081081,3,1,5,26
A,3,0.3761871345028567,0.5741871345029494,False,True,35,15.645954403218596,718.3858128654971,3,1,3,27
A,2,4.98518713450278,,False,True,35,15.645954403218596,739.4838128654972,4,1,2,28
A,0,0.5783918918917834,,False,False,30,13.410818059901654,765.8136081081082,1,1,4,29
A,3,0.5631871345028685,1.5641871345028449,False,True,35,15.645954403218596,784.6058128654971,3,1,4,30
A,3,0.490391891891818,1.1393918918918189,False,True,30,13.410818059901654,805.9966081081081,3,1,4,31
A,2,0.827434426229388,,False,True,25,11.17568171658471,828.2095655737705,2,1,4,32
A,1,0.3143918918918871,,False,False,30,13.410818059901654,849.2926081081081,1,1,2,33
A,0,0.34739189189190256,,False,False,30,13.410818059901654,870.2476081081081,1,1,3,34
A,0,0.5301871345029667,,False,False,35,15.645954403218596,888.0058128654971,2,1,5,35
A,0,,,False,False,30,13.410818059901654,913.9946081081082,0,1,2,36
A,0,0.6291871345028994,,False,False,35,15.645954403218596,924.272812865497,1,1,3,37
A,0,,,False,False,25,11.17568171658471,943.8415655737705,0,1,2,38
A,3,0.49039189189193166,2.1623918918918434,False,True,30,13.410818059901654,954.5406081081081,4,1,5,39
A,2,0.4201871345029531,,False,True,35,15.645954403218596,973.629812865497,3,1,3,40
A,0,0.35443442622943166,,False,False,25,11.17568171658471,994.1995655737705,3,1,5,41
A,1,0.6333918918918471,,False,False,30,13.410818059901654,1016.3936081081081,2,1,4,42
