unique_ID,trial,trial_id,cross_time,cross_time_downsamp,cross_time_downsamp_error
10_0,0,1,0.0,0.0,0.0
10_14,14,1,12.75561,12.766666666666666,-0.011056666666664938
11_0,0,1,3.787385,3.8,-0.01261499999999982
11_11,11,1,12.12242,12.133333333333333,-0.010913333333332886
12_0,0,1,1.253834,1.2666666666666666,-0.012832666666666714
12_15,15,1,1.698157,1.7,-0.001843000000000039
13_0,0,1,11.14588,11.133333333333333,0.01254666666666715
13_16,16,1,13.924220000000002,13.933333333333334,-0.009113333333331752
14_0,0,1,1.329376,1.3333333333333333,-0.003957333333333368
14_12,12,1,1.047822,1.0333333333333332,0.014488666666666816
15_0,0,1,9.426728,9.433333333333334,-0.006605333333332908
15_6,6,1,11.59365,11.6,-0.006349999999999412
16_0,0,1,8.970632,8.966666666666667,0.003965333333333376
16_1,1,1,0.4574278000000001,0.4666666666666667,-0.009238866666666568
17_0,0,1,2.814489,2.8,0.014489000000000196
17_4,4,1,2.066779,2.0666666666666664,0.00011233333333349194
18_0,0,1,2.458677,2.466666666666667,-0.007989666666667006
18_13,13,1,2.168193,2.1666666666666665,0.0015263333333335183
19_0,0,1,10.53436,10.533333333333333,0.0010266666666662871
19_2,2,1,3.140214,3.1333333333333333,0.006880666666666535
1_0,0,1,15.475929999999998,15.466666666666667,0.009263333333331403
1_14,14,1,2.804132,2.8,0.004132000000000247
20_0,0,1,10.83118,10.833333333333334,-0.0021533333333341176
20_4,4,1,13.01275,13.0,0.012750000000000483
2_0,0,1,10.79033,10.8,-0.009669999999999845
2_16,16,1,2.112098,2.1,0.012097999999999942
3_0,0,1,2.580908,2.5666666666666664,0.01424133333333355
3_1,1,1,1.283478,1.3,-0.016522000000000148
4_0,0,1,14.11066,14.1,0.01065999999999967
4_2,2,1,13.62609,13.633333333333333,-0.007243333333333268
5_0,0,1,10.52316,10.533333333333333,-0.01017333333333248
5_10,10,1,12.56736,12.566666666666666,0.0006933333333343228
6_0,0,1,10.75674,10.766666666666666,-0.009926666666665085
6_15,15,1,13.63749,13.633333333333333,0.004156666666666808
7_0,0,1,4.313797,4.3,0.013797000000000281
7_13,13,1,2.943411,2.933333333333333,0.010077666666667096
8_12,12,1,2.714179,2.7,0.014178999999999942
9_0,0,1,0.4687758,0.4666666666666667,0.002109133333333346
9_16,16,1,3.295085,3.3,-0.004915000000000003
10_5,5,2,4.668573,4.666666666666667,0.0019063333333333432
11_7,7,2,4.871104,4.866666666666666,0.004437333333333626
12_5,5,2,0.5673298000000001,0.5666666666666667,0.0006631333333334544
13_9,9,2,16.20453,16.2,0.004529999999999035
14_10,10,2,16.20453,16.2,0.004529999999999035
15_12,12,2,4.7236699999999985,4.733333333333333,-0.009663333333334911
16_8,8,2,4.335407,4.333333333333333,0.0020736666666669734
17_3,3,2,3.68593,3.6999999999999997,-0.014069999999999805
18_7,7,2,0.7888104,0.8,-0.011189600000000022
19_12,12,2,4.716856,4.733333333333333,-0.016477333333333455
1_12,12,2,3.486174,3.5,-0.013825999999999894
20_7,7,2,4.3398400000000015,4.333333333333333,0.006506666666668437
2_11,11,2,3.116046,3.1,0.016045999999999783
3_12,12,2,0.3239287,0.3333333333333333,-0.009404633333333301
4_16,16,2,0.6804826999999999,0.6666666666666666,0.013816033333333255
5_1,1,2,3.976765,3.966666666666667,0.010098333333333098
6_1,1,2,14.666620000000002,14.666666666666666,-4.6666666664307854e-05
7_1,1,2,5.094747,5.1,-0.00525299999999973
8_1,1,2,5.809719,5.8,0.009719000000000477
9_12,12,2,4.780199,4.766666666666667,0.013532333333333035
10_9,9,3,1.071401,1.0666666666666667,0.004734333333333396
11_3,3,3,0.9144437,0.9,0.014443699999999948
12_10,10,3,0.6813537,0.6666666666666666,0.014687033333333321
13_11,11,3,6.086725,6.1,-0.01327499999999926
14_5,5,3,1.786891,1.8,-0.013109000000000037
15_9,9,3,1.227496,1.2333333333333334,-0.005837333333333472
16_13,13,3,1.277921,1.2666666666666666,0.011254333333333477
17_1,1,3,5.385418,5.4,-0.014582000000000761
18_4,4,3,0.6049545999999999,0.6,0.00495459999999992
19_13,13,3,5.358502,5.366666666666666,-0.008164666666666598
1_11,11,3,7.192603,7.2,-0.007397000000000098
20_11,11,3,0.3578781,0.36666666666666664,-0.008788566666666664
2_8,8,3,0.9494913,0.9333333333333333,0.01615796666666669
3_6,6,3,2.044186,2.033333333333333,0.010852666666666622
4_6,6,3,4.937172,4.933333333333334,0.003838666666666768
5_6,6,3,1.017169,1.0333333333333332,-0.016164333333333225
6_11,11,3,0.7176334,0.7333333333333333,-0.015699933333333305
7_8,8,3,0.8368356,0.8333333333333334,0.0035022666666666424
8_4,4,3,1.083451,1.1,-0.016549000000000147
9_8,8,3,5.686101,5.7,-0.013899000000000328
10_2,2,4,2.4799130000000003,2.466666666666667,0.013246333333333471
11_5,5,4,5.60816,5.6,0.008160000000000167
12_8,8,4,0.7265835,0.7333333333333333,-0.006749833333333233
13_6,6,4,7.1379470000000005,7.133333333333333,0.004613666666667626
14_6,6,4,1.413425,1.4,0.01342500000000002
15_4,4,4,5.3033660000000005,5.3,0.0033660000000006463
16_14,14,4,5.037681,5.033333333333333,0.004347666666666861
17_12,12,4,5.893374,5.9,-0.006626000000000687
18_16,16,4,0.3677203,0.36666666666666664,0.0010536333333333592
19_11,11,4,5.782175,5.766666666666667,0.015508333333333013
1_7,7,4,7.971833,7.966666666666667,0.005166333333333384
